date,tool_slug,change_type,description,description_zh,source_url
2026-04-26,retell-ai,feature_added,"Retell AI added for managed production phone and web voice agents","新增 Retell AI，用于托管式生产电话和网页 Voice Agent",https://www.retellai.com/pricing
2026-04-26,livekit,feature_added,"LiveKit added as open-source realtime audio infrastructure for voice agents","新增 LiveKit，作为 Voice Agent 的开源实时音频基础设施",https://livekit.io/pricing
2026-04-26,deepgram,feature_added,"Deepgram added for low-latency streaming speech-to-text pipelines","新增 Deepgram，用于低延迟流式语音识别链路",https://deepgram.com/pricing
2026-04-26,cartesia,feature_added,"Cartesia added for low-latency streaming TTS in voice agents","新增 Cartesia，用于 Voice Agent 的低延迟流式 TTS",https://cartesia.ai/pricing
2026-04-26,openai-realtime,feature_added,"OpenAI Realtime API added for native speech-to-speech voice agents","新增 OpenAI Realtime API，用于原生 speech-to-speech Voice Agent",https://platform.openai.com/docs/guides/realtime
2026-04-26,pipecat,feature_added,"Pipecat added as an open-source realtime voice agent framework","新增 Pipecat，作为开源实时语音 Agent 框架",https://github.com/pipecat-ai/pipecat
2026-04-26,silero-vad,feature_added,"Silero VAD added for open-source voice activity detection workflows","新增 Silero VAD，用于开源语音活动检测工作流",https://github.com/snakers4/silero-vad
"2026-04-27","suno","pricing_change","Suno data reviewed from official source pages","Suno 数据已根据官方来源页面复核","https://suno.com/pricing"
"2026-04-27","elevenlabs","product_change","ElevenLabs data reviewed from official source pages","ElevenLabs 数据已根据官方来源页面复核","https://elevenlabs.io/"
2026-04-28,wellsaid,feature_added,"WellSaid added for licensed brand voiceover studio workflows","新增 WellSaid，用于授权品牌旁白 Studio 工作流",https://www.wellsaid.io/ai-voice-pricing
2026-04-28,murf,feature_added,"Murf AI added for marketing, training, and product voiceover workflows","新增 Murf AI，用于营销、培训和产品旁白工作流",https://murf.ai/voice-cloning
2026-04-28,resemble-ai,feature_added,"Resemble AI added for voice cloning, pay-as-you-go TTS, and governance workflows","新增 Resemble AI，用于声音克隆、按量 TTS 和治理工作流",https://www.resemble.ai/pricing
2026-04-28,chatterbox,feature_added,"Chatterbox added as an open-source self-hosted TTS and voice cloning route","新增 Chatterbox，作为开源自托管 TTS 与声音克隆路线",https://github.com/resemble-ai/chatterbox
2026-04-28,udio,feature_added,"Udio added for AI music generation, stems, and creator music exploration","新增 Udio，用于 AI 音乐生成、stems 和创作者配乐探索",https://www.udio.com/pricing
2026-04-28,beatoven-ai,feature_added,"Beatoven.ai added for licensed AI background music and sound effects","新增 Beatoven.ai，用于有授权记录的 AI 背景音乐和音效",https://www.beatoven.ai/pricing
2026-04-28,audiocraft,feature_added,"AudioCraft added as a self-hosted research route for music and sound generation","新增 AudioCraft，作为音乐和音效生成的自托管研究路线",https://github.com/facebookresearch/audiocraft
2026-04-28,whisperx,feature_added,"WhisperX added for self-hosted transcription, word timestamps, and diarization","新增 WhisperX，用于自托管转写、词级时间戳和说话人分离",https://github.com/m-bain/whisperX
2026-04-28,voicebox,feature_added,"Voicebox added as a local-first open-source voice studio for cloning TTS dictation and agents","新增 Voicebox 作为本地优先的开源声音克隆 TTS 听写和 Agent 语音工作室",https://github.com/jamiepine/voicebox
2026-04-28,krisp,feature_added,"Added Krisp to strengthen category coverage","新增工具用于补齐分类覆盖",https://krisp.ai/
2026-04-28,auphonic,feature_added,"Added Auphonic to strengthen category coverage","新增工具用于补齐分类覆盖",https://auphonic.com/
2026-04-28,cleanvoice-ai,feature_added,"Added Cleanvoice AI to strengthen category coverage","新增工具用于补齐分类覆盖",https://cleanvoice.ai/
2026-04-28,vocode,feature_added,"Added Vocode to strengthen category coverage","新增工具用于补齐分类覆盖",https://github.com/vocodedev/vocode-python
2026-04-28,rasa,feature_added,"Added Rasa to strengthen category coverage","新增工具用于补齐分类覆盖",https://opensource.rasa.com/
2026-04-28,langgraph,feature_added,"Added LangGraph to strengthen category coverage","新增工具用于补齐分类覆盖",https://github.com/langchain-ai/langgraph
2026-04-28,botpress,feature_added,"Added Botpress to strengthen category coverage","新增工具用于补齐分类覆盖",https://botpress.com/en
2026-04-28,audacity,feature_added,"Added Audacity to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.audacityteam.org/
2026-04-28,rask-ai,feature_added,"Added Rask AI to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.rask.ai/
2026-04-28,rws-ai-dubbing,feature_added,"Added RWS AI Dubbing to strengthen category coverage","新增 RWS AI Dubbing 用于补齐分类覆盖",https://www.rws.com/localization/services/translation-services/video-and-audio-translation/ai-dubbing-and-vo/
2026-04-28,daily,feature_added,"Added Daily to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.daily.co/
2026-04-28,agora,feature_added,"Added Agora to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.agora.io/
2026-04-28,twilio-voice,feature_added,"Added Twilio Voice to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.twilio.com/en-us/voice
2026-04-28,mediasoup,feature_added,"Added mediasoup to strengthen category coverage","新增工具用于补齐分类覆盖",https://mediasoup.org/
2026-04-28,janus-gateway,feature_added,"Added Janus Gateway to strengthen category coverage","新增工具用于补齐分类覆盖",https://janus.conf.meetecho.com/
2026-04-28,optimizerai,feature_added,"Added OptimizerAI to strengthen category coverage","新增工具用于补齐分类覆盖",https://optimizerai.xyz/
2026-04-28,assemblyai,feature_added,"Added AssemblyAI to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.assemblyai.com/
2026-04-28,gladia,feature_added,"Added Gladia to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.gladia.io/
2026-04-28,speechbrain,feature_added,"Added SpeechBrain to strengthen category coverage","新增工具用于补齐分类覆盖",https://speechbrain.github.io/
2026-04-28,faster-whisper,feature_added,"Added faster-whisper to strengthen category coverage","新增工具用于补齐分类覆盖",https://github.com/SYSTRAN/faster-whisper
2026-04-28,bland-ai,feature_added,"Added Bland AI to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.bland.ai/
2026-04-28,ten-framework,feature_added,"Added TEN Framework to strengthen category coverage","新增工具用于补齐分类覆盖",https://github.com/TEN-framework/ten-framework
2026-04-28,openvoiceos,feature_added,"Added OpenVoiceOS to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.openvoiceos.org/
2026-04-28,playht,feature_added,"Added PlayHT to strengthen category coverage","新增工具用于补齐分类覆盖",https://play.ht/
2026-04-28,kits-ai,feature_added,"Added Kits AI to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.kits.ai/
2026-04-28,voicemod,feature_added,"Added Voicemod to strengthen category coverage","新增工具用于补齐分类覆盖",https://www.voicemod.net/
2026-04-28,voice-ai,feature_added,"Added Voice.ai to strengthen category coverage","新增工具用于补齐分类覆盖",https://voice.ai/
2026-04-28,morphvox,feature_added,"Added MorphVOX to strengthen category coverage","新增工具用于补齐分类覆盖",https://screamingbee.com/morphvox-free-voice-changer
2026-04-28,finevoice,feature_added,"Added FineVoice to strengthen category coverage","新增工具用于补齐分类覆盖","https://finevoice.ai/"
2026-04-28,w-okada-voice-changer,feature_added,"Added W-Okada Voice Changer to strengthen category coverage","新增工具用于补齐分类覆盖","https://github.com/w-okada/voice-changer"
2026-04-28,so-vits-svc,feature_added,"Added so-vits-svc to strengthen category coverage","新增工具用于补齐分类覆盖","https://github.com/svc-develop-team/so-vits-svc"
2026-04-29,ace-step-ui,feature_added,"Added ACE-Step UI for local ACE-Step 1.5 music generation","新增 ACE-Step UI，用于 ACE-Step 1.5 本地音乐生成","https://github.com/fspecii/ace-step-ui"
